year,region_name,road_name,road_type,start_junction_road_name,end_junction_road_name,latitude,longitude,link_length_km,pedal_cycles,all_motor_vehicles
2019,London,M1,Major,A406,M1 spur,51.587519,-0.23795286,4.1,0,52254
2019,London,M1,Major,2,4,51.634686,-0.26531515,6.8,0,83662
2019,London,M4,Major,4,3,51.494065,-0.43272165,2.9,0,134750
2019,London,A12,Major,A13,A11,51.518227,-0.009866,2.1,103,100179
2019,London,A1,Major,A503 Camden Road,A503 Seven Sisters/Parkhurst Road,51.556604,-0.11753943,0.2,1855,34167
2019,London,A1,Major,A406,A598 Regent's Park Road,51.589077,-0.20425698,0.5,71,117949
2019,London,A1,Major,Courtland Avenue,A411 Barnet Road,51.640847,-0.25626418,1.9,14,63718
2019,London,A2,Major,A3/A2198,A201/A100,51.497613,-0.08971595,1,1510,13334
2019,London,A2,Major,A2 Amersham Rd,A2209,51.475314,-0.02853952,0.6,996,29493
2019,London,A2,Major,A2213,A102,51.474498,0.02307835,0.3,163,33483
2019,London,A2,Major,A223,LA Boundary,51.446029,0.15709791,1.3,4,94368
2019,London,A3,Major,A3202,A2,51.499863,-0.09538501,0.4,3208,13850
2019,London,A3,Major,A23,A3204,51.485694,-0.10893855,0.9,3815,23806
2019,London,A3,Major,A205,A3216,51.46122,-0.15313736,0.6,1173,19371
2019,London,A3,Major,A205,A218,51.456588,-0.20226428,0.4,887,45258
2019,London,A4,Major,Aldwych,LA Boundary,51.513542,-0.11268563,0.3,2196,23823
2019,London,A4,Major,Hyde Park Corner,St James St,51.50622,-0.14411346,0.9,2206,44777
2019,London,A4,Major,Earl's Court Rd,Thurloe Place,51.494741,-0.18635756,1.7,375,58191
2019,London,A4,Major,M4 jn2,A406,51.49217,-0.28441506,1.2,345,45319
2019,London,A4,Major,A312,A30,51.477479,-0.4030496,0.8,161,36828
2019,London,A5,Major,A410,A5100,51.61381,-0.28272133,1.5,95,16133
2019,London,A5,Major,Sussex Gdns,Seymour St,51.515704,-0.1639059,0.6,841,35287
2019,London,A10,Major,LA Boundary,A406,51.611224,-0.08639433,1,187,43443
2019,London,A10,Major,A1202,A1209,51.523222,-0.07754459,0.1,4847,23738
2019,London,A1199,Major,Snaresbrook Rd,A104 roundabout,51.600179,0.01999557,2.6,166,20053
2019,London,A11,Major,A1205,A12,51.526871,-0.02650063,1.5,2836,28618
2019,London,A13,Major,A1206,A102,51.511303,-0.00987955,0.2,415,49615
2019,London,A20,Major,Amersham Rd,A2210,51.466249,-0.02047901,1.6,937,20746
2019,London,A20,Major,A205,A208,51.440901,0.04173865,2.1,138,26980
2019,London,A21,Major,A2218,A205,51.430183,-0.01484527,1.9,524,28989
2019,London,A23,Major,A203,A202,51.467767,-0.1125594,1.7,1602,11504
2019,London,A23,Major,A214,A216,51.428495,-0.13100907,0.2,841,28717
2019,London,A23,Major,Epsom Rd,Croydon Rd,51.367148,-0.11871085,0.1,112,36032
2019,London,A40,Major,Procter St,Gray's Inn Rd,51.518229,-0.11335671,0.5,3413,17064
2019,London,A40,Major,Orchard St,Regent St,51.514219,-0.14955328,0.8,1657,9630
2019,London,A219,Major,A40,Uxbridge Rd,51.509984,-0.22466166,1.1,602,14928
2019,London,A40,Major,A312,A4127,51.538404,-0.3576594,2.3,64,130751
2019,London,A41,Major,A407,A406,51.5731,-0.2121021,2.1,78,65456
2019,London,A41,Major,York St,Portman Sq (north),51.519724,-0.15653716,0.5,433,9885
2019,London,A100,Major,A2,A2206,51.496057,-0.08257762,0.4,1263,25201
2019,London,A103,Major,Middle Lane,Church Lane,51.58472,-0.11565584,0.9,142,17039
2019,London,A107,Major,Downs Rd,Lea Bridge Rd,51.556766,-0.05578989,0.3,1444,24335
2019,London,A104,Major,A1200,A1199,51.5434,-0.09068327,0.9,3003,11110
2019,London,A105,Major,A1004,A111,51.620538,-0.10622707,0.8,299,16732
2019,London,A105,Major,A503,LA Boundary,51.571825,-0.0967078,0.4,1286,26937
2019,London,A107,Major,A503,LA Boundary,51.574825,-0.08215086,1,454,13507
2019,London,A107,Major,Mile End Rd,Bethnal Green Rd,51.525278,-0.05496907,0.9,1220,15427
2019,London,A109,Major,A406,A105,51.602785,-0.1206842,2.3,330,26075
2019,London,A109,Major,A10,A1010,51.598653,-0.07103971,0.5,104,18389
2019,London,A110,Major,A1010,A10,51.64873,-0.05022415,1,112,20600
2019,London,A112,Major,A503,A104,51.584029,-0.01911711,2,263,16861
2019,London,A112,Major,A118,A1011,51.537746,0.00569382,0.8,357,17267
2019,London,A114,Major,Aldersbrook Rd,Bush Rd,51.566193,0.02483762,0.6,329,24546
2019,London,A117,Major,A118,A116,51.551416,0.04726044,0.8,123,10086
2019,London,A118,Major,A114,A117,51.550348,0.04663552,1.7,394,22871
2019,London,A123,Major,A12(T),A118 roundabout,51.572688,0.06495637,2.3,66,13740
2019,London,A124,Major,A1240,A1112/A1083,51.560404,0.14807897,0.6,121,21622
2019,London,A101,Major,A200,LA Boundary,51.5027,-0.04915845,1,130,30123
2019,London,A200,Major,A2209,A2211/A206,51.481428,-0.01406088,1,1773,19855
2019,London,A201,Major,Swinton St,Pentonville Rd,51.530434,-0.11746573,0.3,543,7701
2019,London,A201,Major,A3211,St Bride St,51.512955,-0.10420679,0.3,10059,41293
2019,London,A202,Major,A202 Clayton Rd,A2214 Lausanne rd,51.473435,-0.05760709,0.9,1814,25188
2019,London,A205,Major,A205 John Wilson St,A206,51.489021,0.06693544,0.7,135,8520
